year,state,postal code,district,margin,total votes,initial sample,expected sample
1980,Mississippi,MS,4,0.09197508656743265,177896,50,54
1980,Mississippi,MS,5,0.47839865149599664,177975,10,10
1980,Missouri,MO,1,0.4048438113268534,129939,12,12
1980,Missouri,MO,2,0.2889920822300197,229989,16,17
1980,Missouri,MO,3,0.5523320445314491,184409,9,9
1980,Missouri,MO,4,0.3563816449348044,223328,13,14
1980,Missouri,MO,5,0.402158391568625,158266,12,12
1980,Missouri,MO,6,0.41278291195245326,211329,12,12
1980,Missouri,MO,7,0.35563829073589587,238512,13,14
1980,Missouri,MO,8,0.14288399738615917,223426,33,34
1980,Missouri,MO,9,0.12906039710891418,240740,36,38
1980,Missouri,MO,10,0.10303277754567207,210632,45,48
1980,Montana,MT,1,0.2285403287253728,183740,21,21
1980,Montana,MT,2,0.18127143881499475,154801,26,27
1980,Nebraska,NE,1,0.5730616958906926,204341,8,9
1980,Nebraska,NE,2,0.09304604777148485,203050,50,53
1980,Nebraska,NE,3,0.6789369807683481,217870,7,7
1980,Nevada,NV,0,0.4319130276364345,236029,11,11
1980,New Hampshire,NH,1,0.21581062212890229,187646,22,22
1980,New Hampshire,NH,2,0.2827387522003181,176679,17,17
1980,New Jersey,NJ,1,0.5476751995252003,192081,9,9
1980,New Jersey,NJ,2,0.16276356539815875,235710,29,30
1980,New Jersey,NJ,3,0.009796551238077338,212830,468,1364
1980,New Jersey,NJ,4,0.16003774391112377,168504,29,30
1980,New Jersey,NJ,5,0.5700326380160855,201299,9,9
1980,New Jersey,NJ,6,0.15034445071532873,223254,31,32
1980,New Jersey,NJ,7,0.042096079648040755,214343,109,129
1980,New Jersey,NJ,8,0.357719003382536,142201,13,14
1980,New Jersey,NJ,9,0.20766498391890242,196504,23,23
1980,New Jersey,NJ,10,0.7213401310997815,89245,7,7
1980,New Jersey,NJ,11,0.28709857349695,168524,16,17
1980,New Jersey,NJ,12,0.5621793333561871,175026,9,9
1980,New Jersey,NJ,13,0.45277987374222606,213373,11,11
1980,New Jersey,NJ,14,0.30508787476000593,135420,15,16
1980,New Jersey,NJ,15,0.09617440241288257,173071,48,51
1980,New Mexico,NM,1,0.020286613752111923,246813,226,331
1980,New Mexico,NM,2,0.03999580226184009,161992,115,137
1980,New York,NY,1,0.029429887620668407,204486,156,200
1980,New York,NY,2,0.21978530383999034,149141,21,22
1980,New York,NY,3,0.0029660076171174506,175657,1543,175657
1980,New York,NY,4,0.24161047090624554,175725,19,20
1980,New York,NY,5,0.0872576329180558,182368,53,57
1980,New York,NY,6,0.014596607656600244,169971,314,562
1980,New York,NY,7,0.5405097183657279,100840,9,9
1980,New York,NY,8,0.5221261969505245,111429,9,9
1980,New York,NY,9,0.2683156547183614,109360,18,18
1980,New York,NY,10,0.22508373134624152,100918,21,21
1980,New York,NY,11,0.5171346541508013,98222,9,9
1980,New York,NY,12,0.767750497677505,40689,6,7
1980,New York,NY,13,0.5902807398503238,103156,8,8
1980,New York,NY,14,0.6046955816233393,59162,8,8
1980,New York,NY,15,0.12098892660847074,98976,38,40
1980,New York,NY,16,0.5829786254975496,86926,8,8
1980,New York,NY,17,0.07986542620755947,145645,58,63
1980,New York,NY,18,0.153151364764268,161200,30,32
1980,New York,NY,19,0.7514649331624245,87376,7,7
1980,New York,NY,20,0.6099934241248844,104929,8,8
1980,New York,NY,21,0.850112949508517,32758,6,6
1980,New York,NY,22,0.6737328355375561,79015,7,7
1980,New York,NY,23,0.20248492001049043,152520,23,24
1980,New York,NY,24,0.2803925174870812,168553,17,17
1980,New York,NY,25,0.5055907898423372,196305,10,10
1980,New York,NY,26,0.5536406557945119,184692,9,9
1980,New York,NY,27,0.14824727843203764,188678,31,33
1980,New York,NY,28,0.6009066957822031,210655,8,8
1980,New York,NY,29,0.2759598357258581,212328,17,17
1980,New York,NY,30,0.2924911869065898,173889,16,16
1980,New York,NY,31,0.519072708113804,175565,9,9
1980,New York,NY,32,0.2575534905033053,178957,18,19
1980,New York,NY,33,0.4709735210046157,175271,10,10
1980,New York,NY,34,0.5218687600864357,182795,9,9
1980,New York,NY,35,0.5001244526910066,176774,10,10
1980,New York,NY,36,0.4293842679318616,171357,11,11
1980,New York,NY,37,0.6596114993396713,114337,7,8
1980,New York,NY,38,0.5166943485185744,205309,9,9
1980,New York,NY,39,0.14375962480750384,171432,32,34
1980,North Carolina,NC,1,1,108738,5,5
1980,North Carolina,NC,2,0.4684235043588208,135243,10,10
1980,North Carolina,NC,3,0.3659329604442477,124255,13,13
1980,North Carolina,NC,4,0.06789759032881802,184631,68,75
1980,North Carolina,NC,5,0.021730181436466364,194338,211,300
1980,North Carolina,NC,6,0.021102574539533937,157232,217,313
1980,North Carolina,NC,7,0.37485446388375737,128834,13,13
1980,North Carolina,NC,8,0.17061541304749583,162330,27,28
1980,North Carolina,NC,9,0.1717363604772385,172660,27,28
1980,North Carolina,NC,10,0.39415451743602176,173262,12,12
1980,North Carolina,NC,11,0.07013734547353974,195274,66,72
1980,North Dakota,ND,0,0.14238627523236294,293076,33,34
1980,Ohio,OH,1,0.5148092429895295,166180,9,10
1980,Ohio,OH,2,0.17448726975402576,176116,27,28
1980,Ohio,OH,3,0.17295003865307518,166869,27,28
1980,Ohio,OH,4,0.44686258076725516,184945,11,11
1980,Ohio,OH,5,0.4072734929920342,194707,12,12
1980,Ohio,OH,6,0.09191852223174485,185523,50,54
1980,Ohio,OH,7,0.5223221676507919,163089,9,9
1980,Ohio,OH,8,0.5193304018459663,183752,9,9
1980,Ohio,OH,9,0.1635454666720797,172423,28,30
1980,Ohio,OH,10,0.48730527494866105,192836,10,10
1980,Ohio,OH,11,0.4166805950192211,185473,11,12
1980,Ohio,OH,12,0.05115955203961239,206804,90,103
1980,Ohio,OH,13,0.2764959068275804,177735,17,17
1980,Ohio,OH,14,0.29739230875466105,159298,16,16
1980,Ohio,OH,15,0.4518969465434106,177733,11,11
1980,Ohio,OH,16,0.5853768124368984,189179,8,8
1980,Ohio,OH,17,0.45805283701985633,176770,10,11
1980,Ohio,OH,18,0.5219342058479928,177189,9,9
1980,Ohio,OH,19,0.16147235003038457,184304,29,30
1980,Ohio,OH,20,1,96217,5,5
1980,Ohio,OH,21,0.7644950207336861,94291,6,7
1980,Ohio,OH,22,0.13938397602479208,195869,33,35
1980,Ohio,OH,23,0.9999168842682699,144377,5,5
1980,Oklahoma,OK,1,0.1673867074071451,197674,28,29
1980,Oklahoma,OK,2,0.07961288950334999,188060,58,63
1980,Oklahoma,OK,3,1,1,5,5
1980,Oklahoma,OK,4,0.019960984723596,145584,230,339
1980,Oklahoma,OK,5,0.4045748157154799,131590,12,12
1980,Oklahoma,OK,6,0.2936979510522719,172674,16,16
1980,Oregon,OR,1,0.31898196899249925,308635,15,15
1980,Oregon,OR,2,0.012949358207107185,290748,354,703
1980,Oregon,OR,3,0.4389186056672937,217423,11,11
1980,Oregon,OR,4,0.09627322759068341,289634,48,51
1980,Pennsylvania,PA,1,0.037188567458556074,155451,124,149
1980,Pennsylvania,PA,2,0.9460054009770307,131828,5,5
1980,Pennsylvania,PA,3,0.2172894196199281,124608,22,22
1980,Pennsylvania,PA,4,0.26607737001539455,201370,18,18
1980,Pennsylvania,PA,5,0.5135621862940449,198235,9,10
1980,Pennsylvania,PA,6,0.3419677035874159,175809,14,14
1980,Pennsylvania,PA,7,0.06276199846009069,187024,73,82
1980,Pennsylvania,PA,8,0.019535589321979983,204345,235,350
1980,Pennsylvania,PA,9,1,157241,5,5
1980,Pennsylvania,PA,10,0.5388374255854644,190319,9,9
1980,Pennsylvania,PA,11,0.03836427763359287,180324,120,144
1980,Pennsylvania,PA,12,0.18776738674484977,179749,25,26
1980,Pennsylvania,PA,13,0.4072546360029152,197584,12,12
1980,Pennsylvania,PA,14,0.3908062877613217,149624,12,12
1980,Pennsylvania,PA,15,0.19822924429870323,167725,24,24
1980,Pennsylvania,PA,16,0.5388127312399204,168656,9,9
1980,Pennsylvania,PA,17,0.21142256698705073,161785,22,23
1980,Pennsylvania,PA,18,0.36908324484345334,186462,13,13
1980,Pennsylvania,PA,19,0.5293774513616515,180002,9,9
1980,Pennsylvania,PA,20,0.4500068284514853,168413,11,11
1980,Pennsylvania,PA,21,0.3689907944084555,164248,13,13
1980,Pennsylvania,PA,22,0.400923613401819,169768,12,12
1980,Pennsylvania,PA,23,0.48981717610718006,167046,10,10
1980,Pennsylvania,PA,24,0.0006874624043997594,174555,6657,174555
1980,Pennsylvania,PA,25,0.34184841952011646,178585,14,14
1980,Rhode Island,RI,1,0.3522508398656215,178600,13,14
1980,Rhode Island,RI,2,0.10617371783470415,208027,44,46
1980,South Carolina,SC,1,0.033043324870378185,158731,139,173
1980,South Carolina,SC,2,0.11440972117421933,165659,40,43
1980,South Carolina,SC,3,0.20349431934423545,146638,23,24
1980,South Carolina,SC,4,0.8573602246617309,97925,6,6
1980,South Carolina,SC,5,0.7500197325147994,114025,7,7
1980,South Carolina,SC,6,0.03555970581619647,146711,129,158
1980,South Dakota,SD,1,0.31577529704007423,167065,15,15
1980,South Dakota,SD,2,0.16756976606882798,152438,28,29
1980,Tennessee,TN,1,0.7244142421375117,151129,7,7
1980,Tennessee,TN,2,0.5211050394032705,194527,9,9
1980,Tennessee,TN,3,0.22166364828576782,192156,21,22
1980,Tennessee,TN,4,0.5856887711009967,173570,8,8
1980,Tennessee,TN,5,0.30762101267778136,181262,15,16
1980,Tennessee,TN,6,0.9911914155208503,128511,5,5
1980,Tennessee,TN,7,0.5460641652443081,172835,9,9
1980,Tennessee,TN,8,0.9987659586051703,110207,5,5
1980,Texas,TX,1,1,137665,5,5
1980,Texas,TX,2,0.3973115353213328,205768,12,12
1980,Texas,TX,3,0.6124279703815663,275234,8,8
1980,Texas,TX,4,0.04510376101920672,196702,102,119
1980,Texas,TX,5,0.02189376775632035,139035,210,297
1980,Texas,TX,6,0.4175480498632041,204319,11,12
1980,Texas,TX,7,0.6568363523220736,295684,7,8
1980,Texas,TX,8,0.0350554422952613,140777,131,160
1980,Texas,TX,9,0.9932608569718269,103574,5,5
1980,Texas,TX,10,0.20345735406932144,229424,23,24
1980,Texas,TX,11,1,128520,5,5
1980,Texas,TX,12,0.20617328738134108,165390,23,23
1980,Texas,TX,13,0.10000111359814698,179598,46,49
1980,Texas,TX,14,0.13537994545861323,165379,34,36
1980,Texas,TX,15,0.4004587308446631,150415,12,12
1980,Texas,TX,16,0.6927527799327644,123744,7,7
1980,Texas,TX,17,1,130465,5,5
1980,Texas,TX,18,0.6199720298348428,90096,8,8
1980,Texas,TX,19,0.87015595463138,135424,6,6
1980,Texas,TX,20,0.6465209134732434,102685,8,8
1980,Texas,TX,21,0.5374964945626772,256744,9,9
1980,Texas,TX,22,0.02725435003894844,209251,168,220
1980,Texas,TX,23,0.39695553478435036,149780,12,12
1980,Texas,TX,24,0.2258115162695765,152862,21,21
1980,Utah,UT,1,0.041953775242895515,301570,110,129
1980,Utah,UT,2,0.3677127577253108,290765,13,13
1980,Vermont,VT,0,0.6652182622228385,194697,7,7
1980,Virginia,VA,1,0.8095300996252754,143839,6,6
1980,Virginia,VA,2,0.7968023041134332,108328,6,6
1980,Virginia,VA,3,0.19026065742167436,186912,25,25
1980,Virginia,VA,4,0.21395595892297403,152494,22,23
1980,Virginia,VA,5,0.9986633160455541,112218,5,5
