year,state,postal code,margin,total votes,initial sample,expected sample
1988,Indiana,IN,0.36285710066626875,2099303,42,43
1988,Maine,ME,0.6258107392073571,556745,25,25
1988,Maryland,MD,0.23600102655118996,1617065,65,67
1988,Massachusetts,MA,0.31044019606902706,2606225,49,51
1988,Michigan,MI,0.2192382454574107,3505985,70,72
1988,Minnesota,MN,0.15258986233215358,2093953,100,105
1988,Mississippi,MS,0.07820800047321327,946719,195,212
1988,Missouri,MO,0.3595074258914076,2078875,43,44
1988,Montana,MT,0.03733292448542658,365254,408,493
1988,Nebraska,NE,0.15043122810169796,667860,102,106
1988,Nevada,NV,0.04150616079694632,342407,367,434
1988,New Jersey,NJ,0.08366754428420617,2987634,182,197
1988,New Mexico,NM,0.26622991045973443,508598,58,59
1988,New York,NY,0.3675926753606203,6040980,42,43
1988,North Dakota,ND,0.2039008195870941,289170,75,77
1988,Ohio,OH,0.13952107845220604,4352905,109,115
1988,Pennsylvania,PA,0.3400704621767335,4366598,45,46
1988,Rhode Island,RI,0.09185155405914722,397990,166,178
1988,Tennessee,TN,0.3056622049399527,1567181,50,51
1988,Texas,TX,0.19170802647679036,5323606,80,83
1988,Utah,UT,0.35386966171480655,640702,43,44
1988,Vermont,VT,0.3820072633981375,240108,40,41
1988,Virginia,VA,0.4255571930357094,2068897,36,37
1988,Washington,WA,0.021733885408067546,1848542,700,994
1988,West Virginia,WV,0.2953587362323043,634547,52,53
1988,Wisconsin,WI,0.04528431548895623,2168190,336,392
1988,Wyoming,WY,0.007305320395216728,180964,2081,17567
1990,Alabama,AL,0.21146956429291044,1185154,72,75
1990,Alaska,AK,0.3403612396489732,189957,45,46
1990,Arkansas,AR,0.9966648811990257,494735,16,16
1990,Colorado,CO,0.14021351686403588,1022027,109,114
1990,Delaware,DE,0.2684547367018767,180157,57,59
1990,Georgia,GA,1,1033439,16,16
1990,Idaho,ID,0.22582421756305074,315936,68,70
1990,Illinois,IL,0.3013680384988642,3251005,51,52
1990,Iowa,IA,0.09056104429874798,983933,168,181
1990,Kansas,KS,0.47201409247871184,786235,33,33
1990,Kentucky,KY,0.04373096363576817,916010,348,408
1990,Louisiana,LA,1,1,16,16
1990,Maine,ME,0.22700261377613776,520320,67,69
1990,Massachusetts,MA,0.13560910987020838,2424579,113,118
1990,Michigan,MI,0.1624913005068553,2560494,94,98
1990,Minnesota,MN,0.026340052377014953,1808045,578,764
1990,Mississippi,MS,1,274244,16,16
1990,Montana,MT,0.3874508354836285,319336,40,40
1990,Nebraska,NE,0.17979280195612196,593828,85,88
1990,New Hampshire,NH,0.3380074332602362,291393,45,46
1990,New Jersey,NJ,0.03040361029975434,1938454,500,635
