year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1996,3773568,224060,291,256170,10694,521930,1921,236026,84,6198,19075,10692,27023,264720,225120,65974,24595,257184,4783,1509,2812,285952,6979,8169,1435,30479,1817,711,3787,16585,29412,1667,16090,10790,1141,59224,6344,9992,464229,232,2639,357,3202,36372,11843,275,1156,530751,109,70217,751
1998,922352,1907,199,6188,1395,85049,28394,158615,130,2177,3557,316,4066,19861,26501,2889,7919,18532,191264,306,1218,2150,7344,13219,2474,1764,2124,260,12091,2414,23561,5685,11218,28822,693,7951,1641,18832,183633,162,1685,59,2661,9809,1959,164,839,9433,106,8688,428
2000,2197105,536,43,2090,44345,255170,1939,228630,113,461077,6426,332,211,37432,16131,1949,16780,4759,324,354,4756,657,300312,358703,797,11818,5855,280,2907,3277,305947,3789,6595,3961,2268,6190,1642,1498,15758,217,1493,64,814,8097,1168,48,11372,12539,23410,22132,100
2002,1134716,36826,41,13528,525,9883,174478,4201,72,60168,166665,661,506,4039,21773,8346,15285,28811,5264,10357,11883,1019,2389,2412,1341,1264,151,207,1790,1029,2039,2467,186455,5363,7062,2881,3959,2277,57699,358,402,2616,5855,32508,224471,148,984,10730,501,764,263
2004,923819,837,58,1636,1100,11155,15695,9668,99,3823,13915,430,194,17738,293205,3582,2074,2478,116531,882,719,826,2788,4185,758,4452,153,1525,999,608,2732,2570,307716,5404,444,3474,701,3011,44218,248,649,2921,1880,18594,1458,76,3378,8663,909,1785,875
2006,3298920,706,571,14469,798,27354,25684,257623,457,303285,302962,437,6079,34212,16540,27798,13713,31159,2664,261,889,616,19306,8792,425,1366,406,4094,49340,26812,202014,211625,299027,126527,162,472078,820,1870,511129,140,1981,97,1125,9635,716,2120,23467,21422,1088,36844,196215
2008,3583281,302589,5823,5225,124,420884,2475,12052,299,23560,2381,96,347672,11149,2361,2100,8915,7274,1120006,1829,361248,635,37548,20427,1853,26544,152,11155,7059,5294,14166,2620,67433,4232,281,318423,575,784,57814,169,13711,127,871,13036,418,16,327128,6593,958,3583,1614
2010,4086120,35483,105,295712,3254,270189,11417,7611,640,11266,26934,3987,1659,245492,192707,55100,921,240999,782,2420,1998,12252,37084,69220,7351,37933,215,474,268258,225828,27951,14810,641109,200018,1684,20013,1250,8106,436757,4428,3896,30999,2094,119405,8178,144,247432,53316,181097,16073,69
2012,3755248,808,116,313905,1484,92155,39667,24478,161,360860,4306,1997,317,568979,277668,6147,734,11194,883,822,1047,390737,356937,361423,555,1374,1409,64766,5539,17730,5334,1205,163092,348261,903,18034,1054,1916,20352,1383,3188,731,1940,14275,245579,60,7162,5378,2930,4201,72
2014,2241830,543,1498,227977,3742,366740,5378,6421,305,274095,3142,11181,487,33399,2460,39154,1121,955,859,5749,192008,3153,8515,272080,331,4271,691,14079,20887,14217,5119,1043,396858,3541,524,2352,455,1478,4909,700,1328,144,1046,120291,6420,135,2985,158134,16176,2687,67
2016,2227254,2520,686,4809,495,382405,4402,1500,738,40558,1756,101,247,9909,2053,6815,1730,705,2821,2486,1504,859,4769,747370,415,1189,642,288410,320892,87368,11617,681,18990,5433,67,2361,554,2484,9069,371,1567,199,854,235888,1354,20,7901,5452,787,1305,146
2018,4555465,1234,3751,8574,4386,187830,5065,2095,190,73291,599935,108,498,286684,4690,55298,266962,16370,473,281581,1172,1009,29325,312853,540,11177,7392,41726,4933,3090,319281,47316,372678,297733,252,23266,239785,2339,65379,356,289866,260,1034,308348,269983,78,82944,15995,2498,3715,127
