year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1996,6106087,219183,464,274102,9076,508792,49927,233077,564,14,6275,131994,6021,15649,255954,225179,58578,14359,335860,1703568,3956,1887,283498,4692,6479,4096,19407,13474,1125,466500,20515,16819,2524,9428,12028,2411,34948,4993,13071,462146,341,5438,20785,16118,24577,6751,351,27993,519000,461,50191,1470
1998,2383578,1192,136,3795,1329,47691,13710,158043,68,0,1401,3719,210,2541,22072,15534,1916,4346,1155880,191351,173,787,1316,3941,7751,1428,2248,1489,148,442033,1378,12425,3324,15320,26101,644,5567,1047,10013,178942,89,2858,174,1555,5634,1263,143,492,5624,63,24423,277
2000,16786126,705,119,3725,36229,224726,2293,227785,1388,14,6426547,3943,487,171,22349,9825,1354149,9573,3133,1681,3856,3436,532,335688,349622,896,38318,10601,20086,9060,67435,314599,601460,6192,2846,1683,10628,1131,1534888,16190,635,1222,204,6243,4969,801,952,12419,2472503,17566,2610506,141
2002,1337517,21221,45,6765,1713,6109,177110,2455,317,0,41060,160592,354,393,2368,12346,5862,7700,16339,3127,5821,6272,617,1551,19966,762,765,178,157,1128,5068,2050,1621,183091,4413,3710,1673,2298,1717,32234,234,1017,339150,4536,18439,224304,82,602,7149,395,460,207
2004,5695873,684,11065,1801,2289,7315,16783,6230,1488,13,75274,8791,1591,176,11358,291195,401164,1368,52756,116279,1648,1092,639,11536,11820,690,4818,292,1003,12602,49317,3785,757905,331303,7492,446,22858,1196,6580,39534,370,1506,393186,1477,12241,949,309,3534,7788,1062,2998734,565
2006,5852313,423,326,9135,427,13588,12949,251199,269,0,282188,302545,404,3628,17041,9133,17053,7619,16859,1474,179,1385,439,12058,5391,368,17490,406754,2395,35132,15699,201017,211464,265959,124242,158,466534,470,1020,501518,2137,1112,70,12488,6035,488,1295,2383977,12127,702,19696,196274
2008,21009137,296755,321647,4207,326,398569,3278,5851,448,12,23809,5416,109,347939,6760,102232,2325,5348,6809,416717,1577,361048,614,20730,2900461,1763,2939369,18567,7511,4454,6252,8591,2141,7757889,4314499,1351,315875,725,8201,33622,263,9041,1488,1019,9333,368,75,325229,3917,1224,2443,963
2010,3855730,19248,3836,290734,1971,258350,39805,4311,432,0,6642,16419,2389,993,226303,191860,29650,566,241088,728,1403,1254,6883,21236,41966,4346,21308,126,315,270989,225511,15503,8058,622430,196212,1042,11924,759,4505,455188,2529,2314,18802,1293,114271,4434,173,238506,33943,180523,12638,46
2012,4110541,693,568,314166,1023,50068,29007,14296,401,12,451884,4124,1260,266,565271,279907,6677,634,6485,866,1008,842,392018,353895,360291,1374,2148,7592,43988,61313,12642,3668,4048,119630,366757,321846,23734,685,1773,17492,971,2879,680,1459,9146,245543,143,12837,3621,1824,6973,135
2014,2261714,315,19247,224755,2357,284657,23649,3828,655,0,263103,3467,6232,377,22846,1385,23246,1557,1007,5592,3758,191360,1866,5105,270647,390,2707,673,6902,10647,17106,3421,1351,391180,41724,291,1454,336,1051,2898,435,1138,266,705,118484,4116,72,127190,155932,8618,1570,74
2016,8892893,1713,1065,9493,566,350072,8454,1302,1135,10,90916,4553,184,275,6688,2296,5367,1323,952,2531,12260,2068,616,4801977,759417,560,12485,584,288504,345232,1547655,6642,1590,13595,12895,124,2886,431,2326,205457,630,1238,247,681,234068,1079,257,7764,3670,505,136456,127
2018,12470789,703,2177,20974,2242,156667,2957,1182,299,0,8244657,598883,125,319,279366,5660,35622,266021,9007,308,281720,746,760,17145,303570,734,9529,10577,21177,6185,1620,314928,33397,341790,291061,965,14872,239421,1364,38916,372,288822,149,1471,283117,269724,102,46734,9695,10042,2796,141
