year,total,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1996,163416,71505,126,9370,3009,102651,18191,1380,180,6,1064,42501,2701,7919,4622,59174,58127,4226,44077,1325,1702,390,1708,843,2016,1227,8436,5551,305,868,6101,5014,875,1244,2402,1123,10219,1252,3832,906,80,1404,7900,7577,6091,2665,146,11084,3261,234,32939,504
1998,43589,275,70,1153,326,29250,6275,276,27,0,357,1027,75,696,9166,8180,404,1444,3339,51,93,145,371,965,3212,628,548,704,49,4218,780,5160,1205,1812,24100,194,1531,248,5870,1428,36,1215,78,379,1107,329,51,172,1379,24,6064,114
2000,120114,298,44,1287,39961,43457,790,532,401,8,77558,779,179,50,7967,3615,389,4293,710,671,978,809,115,10839,50896,254,13136,6005,9973,3286,28337,4376,1070,702,651,903,3175,288,292,3223,217,293,117,3623,811,217,331,4043,4238,6294,5450,38
2002,49205,8884,13,3547,747,700,1591,993,126,0,46733,4618,133,153,532,3111,1117,5203,5950,1569,2662,3402,109,230,8596,290,203,83,69,571,2694,501,509,761,1154,2606,292,1029,563,8955,43,307,515,1227,4796,73,40,136,2104,127,102,80
2004,222923,167,3263,496,902,1381,3764,1512,821,5,57105,2926,766,52,5082,933,202749,419,18256,554,502,210,108,4667,4497,195,998,124,671,6862,30163,988,734,645,2677,121,8899,494,2616,14040,76,582,1394,448,3057,320,137,1066,1409,271,463,242
2006,40365,134,127,2337,145,4424,7002,4101,136,0,32638,83,139,1868,4995,2422,8826,2946,4925,488,60,709,58,3598,1457,111,6651,163,889,10427,5499,523,142,10629,960,66,1785,114,342,3011,834,278,23,5002,1136,112,655,4977,5437,210,8361,33
2008,53688,3197,1661,797,94,8391,896,4617,148,5,7063,2028,34,114,1981,39147,485,2681,1973,4843,526,108,87,9917,5743,528,5482,7408,3069,1193,1805,1776,670,14558,776,731,2887,146,2035,10910,63,3500,434,270,1626,101,34,2343,1594,325,637,442
2010,135141,8860,2959,89022,740,3034,19177,1573,152,0,1319,4301,1122,431,8183,537,10599,160,685,169,484,433,1446,7366,37561,1289,8635,65,109,1469,70294,7354,3714,6046,1426,525,3140,339,1515,61001,1224,728,7768,247,1644,1107,63,4482,11113,241,4428,17
2012,141316,139,206,5751,313,9303,10757,5087,145,5,78852,977,703,73,1294,94509,1693,201,2947,209,242,132,743,1696,1249,510,583,2288,57647,37075,3564,675,1349,46029,13711,230,4969,148,578,4497,251,674,279,374,2128,65,41,2497,926,755,2019,31
2014,78343,70,7950,1550,552,17210,15886,1096,233,0,4477,1376,3262,123,4515,380,7922,464,232,1468,1100,182,402,1004,948,107,982,210,5154,4369,4089,882,502,46052,15751,97,192,97,311,466,142,195,80,125,532,2058,41,69230,774,5486,322,37
2016,159005,584,336,4162,155,11233,3026,323,412,6,29959,1431,67,89,1714,604,1370,488,266,620,4020,224,143,401,19160,201,9441,136,86,10039,66757,1842,667,1466,4435,47,546,178,477,106024,186,334,58,116,691,313,63,2580,613,216,84368,52
2018,98593,274,1363,6459,1037,9041,707,433,106,0,51995,262,32,162,2012,953,12151,558,3644,62,120,149,158,4416,3097,178,2924,3692,7845,1909,905,1893,43886,55658,3214,422,3122,159,314,9295,117,267,78,529,11413,124,23,21636,2664,3334,758,57
